date,Revenue,bing_cost,pinterest_cost,google_ads_cost,hulu_cost,facebook_cost
2021-05-25,148834.62,484.96,2451.08,8788.62,0.00,14034.31
2021-05-26,138634.71,545.44,2504.09,8340.82,0.00,14427.61
2021-05-27,109981.56,1898.82,2525.00,8331.56,0.00,7607.24
2021-05-28,188866.60,1778.74,2517.80,9074.11,0.00,5652.78
2021-05-29,256788.76,4371.20,2525.00,10820.05,0.00,6680.29
2021-05-30,232527.03,5768.72,2506.95,9764.76,0.00,15141.81
2021-05-31,230708.29,5964.25,2517.96,13048.72,0.00,16481.37
2021-06-01,183720.10,1663.12,2513.69,11020.54,0.00,13985.08
2021-06-02,141003.19,1590.05,2525.00,9199.86,0.00,13359.02
2021-06-03,139427.88,446.43,2520.66,5294.26,0.00,13495.32
2021-06-04,119156.77,293.30,2443.89,4677.69,0.00,14172.25
2021-06-05,163469.53,211.74,2452.05,5438.66,0.00,14546.75
2021-06-06,157629.95,202.94,2471.28,6154.13,0.00,13895.10
2021-06-07,160849.23,591.76,2460.91,5052.70,0.00,13604.06
2021-06-08,157915.32,844.57,2473.17,4596.06,0.00,13385.47
2021-06-09,107344.96,815.96,2591.55,4245.14,0.00,13027.63
2021-06-10,118110.30,1692.74,2310.69,4115.21,0.00,12680.96
2021-06-11,105014.37,977.30,2299.03,4081.96,0.00,13298.05
2021-06-12,151513.12,356.95,2313.25,4849.04,0.00,12737.12
2021-06-13,163212.88,449.54,2318.70,5560.60,0.00,12208.54
2021-06-14,150470.50,364.58,2262.34,6257.45,0.00,11713.63
2021-06-15,157563.63,493.50,2264.56,7687.61,0.00,12684.91
2021-06-16,112698.49,371.23,2233.43,7686.31,0.00,13003.87
2021-06-17,134412.89,352.11,2285.26,6692.56,0.00,14717.61
2021-06-18,109455.50,515.02,2190.17,7479.00,0.00,15672.90
2021-06-19,121770.44,451.58,2155.06,8981.20,0.00,18435.32
2021-06-20,146980.29,549.89,2145.10,9979.98,0.00,17259.05
2021-06-21,113166.69,348.94,2079.55,7905.06,0.00,16388.61
2021-06-22,110288.67,338.52,2183.73,8329.61,0.00,16426.01
2021-06-23,107993.78,640.33,2180.90,5984.05,0.00,12774.45
2021-06-24,97889.85,421.47,2226.75,5055.11,0.00,9000.41
2021-06-25,97291.55,752.99,1792.63,4673.63,0.00,8944.40
2021-06-26,126901.72,803.41,1788.14,5648.50,0.00,9873.56
2021-06-27,106036.32,341.81,1790.27,6346.19,0.00,9358.53
2021-06-28,102665.44,420.64,1841.65,5093.29,0.00,8406.99
2021-06-29,79664.68,339.65,2131.74,4646.61,0.00,8487.15
2021-06-30,76371.29,309.49,2118.84,7701.10,0.00,8336.61
2021-07-01,88906.06,305.06,2095.91,11212.34,0.00,8736.72
2021-07-02,80718.81,253.31,2186.37,7653.13,0.00,9130.35
2021-07-03,99068.46,342.15,1957.35,6375.76,0.00,10192.71
2021-07-04,93640.85,260.84,1969.21,7129.42,0.00,9065.02
2021-07-05,107119.47,222.48,1963.33,6479.11,0.00,9034.92
2021-07-06,103153.11,199.29,1950.98,5424.42,0.00,8660.24
2021-07-07,68932.03,209.15,1982.65,5071.59,0.00,8694.30
2021-07-08,79836.13,296.78,2010.60,5124.18,0.00,7982.71
2021-07-09,65776.87,346.19,2015.76,5136.36,0.00,6352.98
2021-07-10,74800.51,281.34,2004.27,5971.77,0.00,6013.33
2021-07-11,108349.93,262.71,2003.16,6883.69,0.00,6208.26
2021-07-12,90978.73,347.63,1985.83,5051.07,0.00,6530.74
2021-07-13,98352.97,474.76,2006.65,4510.44,0.00,6741.99
2021-07-14,71352.86,963.42,2007.61,4919.70,0.00,6795.24
2021-07-15,124525.53,827.06,1959.05,5048.08,0.00,6620.45
2021-07-16,85120.10,1650.90,1951.01,6691.56,0.00,6693.18
2021-07-17,82180.03,1071.96,1969.24,7902.07,0.00,7348.60
2021-07-18,88800.39,195.19,1962.90,9068.49,0.00,6887.45
2021-07-19,82488.05,214.09,1969.23,7620.41,0.00,6672.42
2021-07-20,74777.55,152.91,1973.66,5883.82,0.00,6621.91
2021-07-21,59084.40,206.57,1965.34,7638.58,0.00,6169.28
2021-07-22,87280.09,254.24,1951.32,6929.96,0.00,6292.10
2021-07-23,77185.55,249.05,1922.70,6094.55,0.00,6378.57
2021-07-24,107639.32,263.25,1939.83,7421.75,0.00,6893.75
2021-07-25,76567.46,214.53,1948.86,8522.35,0.00,6360.17
2021-07-26,86168.18,83.84,1886.56,4511.51,0.00,5755.91
2021-07-27,74951.50,168.36,1890.85,3434.16,0.00,5603.91
2021-07-28,60235.50,228.56,1925.19,3583.93,0.00,5413.13
2021-07-29,66013.81,358.58,1891.25,3468.83,0.00,5378.35
2021-07-30,71747.05,267.64,1895.27,3696.01,0.00,5354.32
2021-07-31,68103.11,345.31,1889.51,4570.40,0.00,5335.71
2021-08-01,114237.32,399.78,1892.21,6095.70,0.00,5266.29
2021-08-02,93257.09,390.22,1872.23,5555.57,0.00,5156.66
2021-08-03,96258.59,375.54,1887.69,6897.12,0.00,4904.82
2021-08-04,90958.74,466.86,1839.62,6976.34,0.00,5306.11
2021-08-05,91226.79,506.85,1839.59,6247.43,0.00,5449.40
2021-08-06,87492.56,361.86,1864.76,5445.27,0.00,5815.30
2021-08-07,146418.44,335.59,1910.78,7179.72,0.00,6386.95
2021-08-08,100021.36,387.49,1973.83,7502.64,0.00,6073.85
2021-08-09,116152.85,341.65,1978.13,6191.87,0.00,5677.34
2021-08-10,73147.74,305.80,1923.84,5092.12,0.00,5969.11
2021-08-11,81412.67,269.31,1996.54,4209.51,0.00,6116.84
